"카테고리","제목","설명","프롬프트"
"자기소개서","강점 발굴 자기소개서 초안 프롬프트","내담자의 경력과 경험을 나열만 해도, 직무 강점을 뽑아내고 자기소개서 초안 구조를 잡아주는 프롬프트입니다. 상담 초반, 내담자가 자신의 강점을 스스로 언어화하기 어려워할 때 사용하세요.","당신은 20년 경력의 커리어 컨설턴트입니다. 아래 내담자의 경력/경험 정보를 바탕으로 지원 직무에 맞는 자기소개서 초안을 작성해 주세요.

[내담자 정보]
- 지원 직무: (직무명 입력)
- 주요 경력/경험: (경력 사항 나열)
- 강조하고 싶은 강점: (있다면 입력, 없으면 '모르겠음'이라고 적어도 됨)

[요청 사항]
1. 경력/경험에서 지원 직무와 연결되는 강점 3가지를 먼저 뽑아 설명해 주세요.
2. 그 강점을 바탕으로 '지원동기 - 직무역량 - 입사 후 포부' 구조의 자기소개서 초안을 800자 내외로 작성해 주세요.
3. 과장되거나 상투적인 표현은 피하고, 구체적인 경험 중심으로 써 주세요."
"자기소개서","자기소개서 첨삭 피드백 프롬프트","내담자가 작성해온 자기소개서 초안을 붙여넣으면, 구체적인 개선 포인트를 항목별로 짚어줍니다. 첨삭 상담 시간을 단축하고 싶을 때 사용하세요.","당신은 채용 담당자 출신의 자기소개서 첨삭 전문가입니다. 아래 자기소개서를 읽고 다음 기준으로 피드백해 주세요.

[자기소개서 원문]
(여기에 내담자의 자기소개서 붙여넣기)

[피드백 기준]
1. 지원 직무와의 연관성이 잘 드러나는가
2. 구체적인 사례/수치가 있는가, 아니면 추상적인 표현에 그치는가
3. 문장이 장황하지 않고 간결한가
4. 고쳤으면 하는 문장을 3개 이내로 골라, 수정 예시와 함께 제시해 주세요."
"자기소개서","성장과정 프롬프트","자기소개서 [성장과정·가치관] 항목을 채워주는 프롬프트입니다. 핵심 가치관과 그 가치관이 형성된 계기 에피소드만 입력하면, 헤드라인이 있는 초안을 만들어줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [성장과정·가치관] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 성장 과정을 기술하고, 그 경험이 당신의 가치관 형성에 미친 영향을 서술하시오.]

[나의 가치관 정보]
- 핵심 가치관 키워드: [예: 책임감 / 도전 / 성실 / 배려 / 혁신 등]
- 가치관이 형성된 계기: [어떤 경험, 사람, 환경이 영향을 주었는지]
- 구체적 에피소드(계기): [언제, 어디서, 무슨 일이 있었는지]
- 그 경험에서 얻은 교훈: [무엇을 깨달았는지]
- 가치관을 실제 발휘한 경험: [최근 경험 — 언제, 어떤 상황, 무엇을 했는지, 결과]
- 지원 기업과 가치관의 연결점: [기업의 어떤 가치/문화/사업과 내 가치관이 맞닿는지]

[작성 지침]
- 헤드라인 포함 (첫 문장이 가치관 핵심을 드러낼 것)
- 개인 식별 정보(학교명 등)는 'OO'으로 처리
- 문어체, 존댓말 유지
- 부족한 정보는 [ ]로 표시
- 기업의 핵심 가치를 반영할 것!
- 태도나 가치관이 잘 드러나있는지 확인
- 경험을 제공하기 전에 내 경험 중 적합한 경험 중 선정하도록 질문할 것!
- 작성 후 6HAT를 활용한 피드백 요청을 질문 할 것

[AI 문체 제거]
- 단순히 A가 아닌 B 라는 것을 류의 표현-> 다른 표현으로 대체
- 과도한 표현, 수사 없이 작성
- 표현은 간결하게 하고 문장이 너무 과하게 길어지지 않도록 주의
- 이식, 체감, 맞닿아 등의 자주 사용하지 않는 표현은 다른 표현으로 대체
- 최종 휴먼터치 필요한 단어, 문장 등은 표시"
"자기소개서","지원동기 작성 프롬프트","자기소개서 [지원동기] 항목을 위한 프롬프트입니다. 관심 계기와 준비 과정을 입력하면, 클리셰 없이 구체적인 사실 중심의 초안을 작성해줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [지원동기] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 지원 동기와 입사 후 포부를 서술하시오.]
- 지원 기업/기관:
- 지원 직무:
- 글자 수 제한:

[나의 정보]
- 이 회사·직무에 관심을 갖게 된 구체적 계기: [언제, 어떤 경험이나 정보 때문이었는지]
- 이 회사의 어떤 점이 실제로 끌렸는지: [막연한 이미지가 아니라 구체적 사실 — 제품, 서비스, 최근 행보 등]
- 직무 관련 준비/경험: [무엇을 배우거나 해봤는지]
- 입사 후 하고 싶은 구체적인 일: [추상적 포부가 아니라 실제로 하고 싶은 업무]

[작성 지침]
- 첫 문장부터 클리셰(""~비전과 일치하여"", ""~일원이 되고 싶습니다"", ""~최적의 무대입니다"") 금지
- 막연한 기업 이미지 찬양 대신 구체적 사실 1~2개로 시작
- 개인 식별 정보(학교명 등)는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시하고, 채울 수 있는 사실이 있으면 질문할 것

[AI 문체 제거]
- ""~비전과 일치하여"", ""~기여하고 싶습니다""(3회 이상), ""~최적의 무대입니다"" 등 지원동기 클리셰 전량 삭제
- ""단순히 A가 아니라 B"" 대조 공식 금지, B만 직접 서술
- 혁신적인/획기적인/전례 없는 등 과장 형용사 삭제, 구체적 사실로 대체
- 문장은 간결하게, 과도한 수식 금지"
"자기소개서","성격 장단점 작성 프롬프트","자기소개서 [성격의 장단점] 항목을 위한 프롬프트입니다. 장점의 근거 경험과 단점 극복 노력을 입력하면, 포장 없이 솔직하고 균형 잡힌 초안을 만들어줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [성격의 장단점] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 본인의 장점과 단점을 기술하고, 단점 극복을 위한 노력을 서술하시오.]
- 글자 수 제한:

[나의 정보]
- 장점 키워드: [예: 꼼꼼함 / 추진력 / 공감능력 등]
- 장점이 드러난 구체적 경험: [언제, 어떤 상황, 어떻게 발휘했는지, 결과]
- 직무와 장점의 연결점: [이 장점이 지원 직무에 왜 도움이 되는지]
- 단점 키워드: [실제 본인이 느끼는 약점]
- 단점 때문에 겪었던 구체적 상황: [언제, 무슨 일이 있었는지]
- 극복을 위해 실제로 하고 있는 노력: [구체적 행동, 도구, 습관]

[작성 지침]
- 장점은 경험 근거 없이 나열하지 말 것 (반드시 구체적 사례 1개 이상)
- 단점은 ""장점처럼 포장된 가짜 단점""(예: ""너무 완벽주의라서"") 금지 — 실제 개선 중인 것을 솔직하게
- 개인 식별 정보는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시

[AI 문체 제거]
- ""~하는 경향이 있습니다"" 같은 hedging 표현 반복 금지, 단정적으로 서술
- ""이를 극복하기 위해"" 같은 표현 반복 시 다른 표현으로 분산
- 성향 자체를 미화하거나 과장하지 말 것"
"자기소개서","팀워크·협업 경험 작성 프롬프트","자기소개서 [팀워크/협업 경험] 항목을 위한 프롬프트입니다. SPARK 구조로 경험 정보를 입력하면, 갈등을 무마하지 않고 풀어간 과정이 드러나는 초안을 작성해줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [팀워크/협업 경험] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 타인과 협력하여 목표를 달성했던 경험을 서술하시오.]
- 글자 수 제한:

[나의 경험 정보 - SPARK]
- S(상황): 언제, 어디서, 어떤 팀/조직이었는지
- P(문제): 협업 과정에서 있었던 구체적 갈등이나 어려움
- A(행동): 그 상황에서 본인이 직접 한 역할과 행동 (남이 시킨 게 아니라 스스로 판단한 것)
- R(결과): 수치로 표현 가능한 결과 (%, 건수, 기간 단축 등)
- K(교훈): 이 경험에서 배운 협업 방식, 직무에 어떻게 적용할지

[작성 지침]
- '나 혼자 잘해서' 식이 아니라 '팀 안에서 내 역할'이 드러나도록
- 갈등이 있었다면 무마하지 말고, 어떻게 풀었는지 과정을 구체적으로
- 개인 식별 정보는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시

[AI 문체 제거]
- ""협업을 통해 성장했습니다"" 같은 의인화·추상 표현 금지, 구체적 행동으로 대체
- ""첫째, 둘째, 셋째"" 기계적 나열 금지, 이야기 흐름으로
- 결과는 반드시 수치나 구체적 사실로, ""좋은 성과를 거두었습니다"" 같은 뭉뚱그림 금지"
"자기소개서","도전·목표 달성 경험 작성 프롬프트","자기소개서 [도전 경험/목표 달성 경험] 항목을 위한 프롬프트입니다. SPARK 구조로 경험 정보를 입력하면, 장애물을 넘어선 과정과 성과가 구체적으로 드러나는 초안을 작성해줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [도전 경험/목표 달성 경험] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 어려운 목표에 도전하여 성취했던 경험을 서술하시오.]
- 글자 수 제한:

[나의 경험 정보 - SPARK]
- S(상황): 어떤 목표를 세우게 된 배경
- P(문제): 목표 달성을 가로막았던 구체적 장애물이나 어려움
- A(행동): 장애물을 넘기 위해 본인이 실제로 취한 행동 (단계별로)
- R(결과): 수치로 표현 가능한 성과
- K(교훈): 이 경험이 직무 수행에 어떻게 연결되는지

[작성 지침]
- 목표의 난이도가 왜 어려웠는지 구체적으로 (막연히 ""힘들었다"" 금지)
- 포기하고 싶었던 순간과 그것을 버틴 이유를 솔직하게 (감정 표현은 허용)
- 개인 식별 정보는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시

[AI 문체 제거]
- ""혁신적인"", ""전례 없는"" 등 과장 형용사 삭제
- ""~을 통해 ~하게 되었습니다"" 번역투 반복 금지
- 결론부에 ""결론적으로"", ""이러한 경험은"" 같은 상투적 요약 금지, 다음 행동으로 바로 연결"
"자기소개서","갈등 해결 경험 작성 프롬프트","자기소개서 [갈등 해결 경험] 항목을 위한 프롬프트입니다. SPARK 구조로 경험 정보를 입력하면, 상대를 탓하지 않고 능동적으로 풀어간 과정이 담긴 초안을 작성해줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [갈등 해결 경험] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 타인과의 갈등을 해결했던 경험과 그 과정에서 배운 점을 서술하시오.]
- 글자 수 제한:

[나의 경험 정보 - SPARK]
- S(상황): 누구와, 어떤 상황에서 갈등이 발생했는지 (실명 대신 역할로 — 예: 팀원 A)
- P(문제): 갈등의 핵심 원인 (의견 차이, 역할 불명확, 소통 부족 등 구체적으로)
- A(행동): 갈등을 풀기 위해 본인이 취한 구체적 행동 (대화 방식, 제안, 중재 등)
- R(결과): 갈등 해결 후 실제로 달라진 점 (관계, 성과, 프로세스 등)
- K(교훈): 이 경험에서 배운 갈등 관리 방식

[작성 지침]
- 상대방을 일방적으로 나쁘게 묘사하지 말 것 (성숙한 시각 유지)
- '내가 참았다'가 아니라 '내가 능동적으로 어떻게 풀었는지' 중심
- 개인 식별 정보는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시

[AI 문체 제거]
- ""소통의 중요성을 깨달았습니다"" 같은 상투적 결론 금지, 구체적으로 무엇이 바뀌었는지
- ""~라는 점에서"" 반복 금지
- 감정을 과장하지 않되, 솔직한 감정 서술(""당황스러웠지만"")은 허용"
"자기소개서","입사 후 포부 작성 프롬프트","자기소개서 [입사 후 포부] 항목을 위한 프롬프트입니다. 단기·중장기 목표를 입력하면, 막연한 다짐 대신 구체적인 실행 계획으로 끝나는 초안을 작성해줍니다.","당신은 취업 전문가입니다. 아래 정보를 바탕으로 자기소개서 [입사 후 포부] 항목을 800자 내외로 작성해주세요.

[지원 정보]
- 항목 원문: [예: 입사 후 포부를 서술하시오.]
- 지원 기업/기관:
- 지원 직무:
- 글자 수 제한:

[나의 정보]
- 단기 목표(입사~1년): [구체적으로 하고 싶은 업무, 배우고 싶은 것]
- 중장기 목표(3~5년): [어떤 전문성을 쌓고 싶은지]
- 이 회사이기에 가능한 이유: [다른 회사가 아니라 이 회사에서 이 목표가 왜 가능한지]
- 본인 역량과의 연결: [기존 경험/역량이 이 포부와 어떻게 이어지는지]

[작성 지침]
- 막연한 ""최고가 되겠습니다"" 대신 구체적 실행 계획으로
- 회사 비전을 그대로 베끼지 말고, 본인 관점에서 재해석
- 개인 식별 정보는 'OO'으로 처리
- 부족한 정보는 [ ]로 표시

[AI 문체 제거]
- ""~하는 인재가 되겠습니다"", ""~에 기여하겠습니다""(3회 이상 반복) 클리셰 삭제
- ""~로 나아갈 시점입니다"", ""함께 성장해 나갈 수 있기를 희망합니다"" 같은 완결 공식형 결말 금지
- 마지막 문장은 구체적 실행 계획으로 끝낼 것, 추상적 다짐으로 끝내지 말 것"
"자기소개서","자기소개서 AI 티 제거 윤문 프롬프트","이미 작성된 자기소개서 초안에서 번역투·AI 특유 관용구·클리셰를 제거하고 자연스러운 문체로 다듬습니다. 초안은 다 나왔는데 문장이 어색하거나 'AI가 쓴 것 같다'는 느낌이 들 때 사용하세요.","당신은 자기소개서 문체를 다듬는 전문 편집자입니다. 아래 자기소개서를 읽고 AI 티(번역투, 상투적 표현, 클리셰)를 제거해 자연스럽게 윤문해주세요.

[원문]
(여기에 자기소개서 붙여넣기)

[탐지 및 제거 대상]
1. 번역투: ""~에 대해"", ""~를 통해"", ""~에 있어서"", ""가지고 있다"", ""~되어진다"" 등
2. AI 특유 관용구: ""결론적으로"", ""시사하는 바가 크며"", ""혁신적인"", ""~라고 할 수 있습니다""
3. 지원동기 클리셰: ""~비전과 일치하여"", ""~최적의 무대입니다"", ""~일원이 되고 싶습니다""
4. 대조 공식: ""단순히 A가 아니라 B"" → B만 직접 서술
5. 기계적 나열: ""첫째, 둘째, 셋째"" → 이야기 흐름으로
6. 과도한 수식어: ""매우"", ""정말"" 등 정도부사 남발

[절대 지켜야 할 것]
- 사실·수치·고유명사·글자 수 제한은 100% 보존
- 감정·생각을 드러내는 진솔한 표현(""당황스러웠지만"", ""고민했습니다"")은 삭제하지 말 것
- 변경률이 30%를 넘지 않도록, 문제 있는 부분만 수정

[출력 형식]
1. 탐지된 문제 표현 목록 (몇 건, 어떤 패턴인지)
2. 윤문 후 전문
3. 변경 요약 (무엇을 왜 고쳤는지 3~5줄)"
